Read in 1059 train and 133 test
0.1
Update 1	TP -1546.469838	HP -175.266278	TA 0.594901	HA 0.593985
Update 6	TP -4787.085085	HP -687.763704	TA 0.539188	HA 0.488722
Update 11	TP -2874.794750	HP -426.609679	TA 0.651558	HA 0.631579
Update 16	TP -2089.063950	HP -334.133103	TA 0.721435	HA 0.676692
Update 21	TP -1765.334758	HP -304.664630	TA 0.753541	HA 0.684211
Update 26	TP -1716.110729	HP -293.001858	TA 0.752597	HA 0.699248
Update 31	TP -1913.555630	HP -290.764363	TA 0.749764	HA 0.691729
Update 36	TP -1861.767899	HP -269.909046	TA 0.760151	HA 0.729323
Update 41	TP -2072.081977	HP -273.559438	TA 0.750708	HA 0.766917
Update 46	TP -1642.917543	HP -226.917751	TA 0.791313	HA 0.736842
Update 51	TP -2362.603465	HP -285.391681	TA 0.723324	HA 0.766917
Update 56	TP -2625.465650	HP -283.104620	TA 0.724268	HA 0.774436
Update 61	TP -2793.283976	HP -300.310096	TA 0.714825	HA 0.774436
Update 66	TP -1706.860775	HP -241.398448	TA 0.804533	HA 0.796992
Update 71	TP -1625.479394	HP -260.220844	TA 0.826251	HA 0.789474
Update 76	TP -2040.064748	HP -291.586202	TA 0.808310	HA 0.796992
Update 81	TP -1811.319340	HP -279.693479	TA 0.812087	HA 0.804511
Update 86	TP -1675.514287	HP -266.973386	TA 0.819641	HA 0.804511
Update 91	TP -2260.081315	HP -292.383087	TA 0.779037	HA 0.766917
Update 96	TP -2260.092248	HP -292.383406	TA 0.779037	HA 0.766917
Update 101	TP -1632.094987	HP -244.239405	TA 0.823418	HA 0.796992
Update 106	TP -1602.745288	HP -244.291724	TA 0.831917	HA 0.796992
Update 111	TP -1602.745285	HP -244.291724	TA 0.831917	HA 0.796992
Update 116	TP -1496.525417	HP -247.053581	TA 0.843248	HA 0.796992
Update 121	TP -1496.543961	HP -247.056838	TA 0.843248	HA 0.796992
Update 126	TP -1476.000516	HP -246.464307	TA 0.844193	HA 0.796992
Update 131	TP -1476.129578	HP -246.459591	TA 0.844193	HA 0.796992
Update 136	TP -1476.127548	HP -246.461360	TA 0.844193	HA 0.796992
Update 141	TP -1908.193900	HP -262.492719	TA 0.814920	HA 0.781955
Update 146	TP -1692.982703	HP -246.295319	TA 0.832861	HA 0.819549
Update 151	TP -1419.046495	HP -245.364078	TA 0.863078	HA 0.804511
Update 156	TP -1419.047068	HP -245.364123	TA 0.863078	HA 0.804511
Update 161	TP -1300.193729	HP -231.740816	TA 0.864023	HA 0.819549
Update 166	TP -1306.605666	HP -233.719906	TA 0.864023	HA 0.819549
Update 171	TP -1313.965370	HP -234.939859	TA 0.864967	HA 0.812030
Update 176	TP -1313.966249	HP -234.941389	TA 0.864967	HA 0.812030
Update 181	TP -1314.569684	HP -231.875023	TA 0.864967	HA 0.827068
Update 186	TP -1272.586346	HP -226.508685	TA 0.868744	HA 0.804511
Update 191	TP -1272.546745	HP -226.516016	TA 0.868744	HA 0.804511
Update 196	TP -1272.520808	HP -226.518497	TA 0.868744	HA 0.804511
Update 201	TP -1404.672336	HP -245.148199	TA 0.866856	HA 0.812030
Update 206	TP -1213.724273	HP -227.547187	TA 0.878187	HA 0.834586
Update 211	TP -1854.967649	HP -256.514490	TA 0.824363	HA 0.819549
Update 216	TP -1756.205442	HP -246.369691	TA 0.836638	HA 0.827068
Update 221	TP -2100.354908	HP -270.054326	TA 0.811143	HA 0.819549
Update 226	TP -1322.299367	HP -202.625836	TA 0.866856	HA 0.842105
Update 231	TP -1293.399582	HP -219.944263	TA 0.869688	HA 0.842105
Update 236	TP -1475.691849	HP -268.148349	TA 0.863078	HA 0.819549
Update 241	TP -1309.301870	HP -214.781380	TA 0.875354	HA 0.834586
Update 246	TP -1306.719701	HP -214.183659	TA 0.875354	HA 0.834586
Update 251	TP -1526.824074	HP -283.018185	TA 0.874410	HA 0.804511
Update 256	TP -1290.521484	HP -242.406542	TA 0.886686	HA 0.827068
Update 261	TP -1290.521483	HP -242.406541	TA 0.886686	HA 0.827068
Update 266	TP -1289.099534	HP -242.018310	TA 0.887630	HA 0.827068
Update 271	TP -1170.306138	HP -197.541307	TA 0.894240	HA 0.849624
Update 276	TP -1170.284052	HP -197.829777	TA 0.895184	HA 0.849624
Update 281	TP -1488.410400	HP -207.332124	TA 0.862134	HA 0.842105
Update 286	TP -1230.832946	HP -213.032213	TA 0.880076	HA 0.849624
Update 291	TP -1229.789959	HP -213.068580	TA 0.880076	HA 0.849624
Update 296	TP -1229.080044	HP -210.162439	TA 0.876298	HA 0.849624
Update 301	TP -1362.174365	HP -189.951913	TA 0.873466	HA 0.857143
Update 306	TP -1361.881848	HP -189.953922	TA 0.873466	HA 0.857143
Update 311	TP -1361.881849	HP -189.953922	TA 0.873466	HA 0.857143
Update 316	TP -1184.204755	HP -181.775733	TA 0.888574	HA 0.849624
Update 321	TP -1279.715229	HP -176.820412	TA 0.882908	HA 0.857143
Update 326	TP -1144.114073	HP -155.564357	TA 0.891407	HA 0.887218
Update 331	TP -1144.101964	HP -155.564503	TA 0.891407	HA 0.887218
Update 336	TP -1144.101943	HP -155.564521	TA 0.891407	HA 0.887218
Update 341	TP -1144.102855	HP -155.564229	TA 0.891407	HA 0.887218
Update 346	TP -1928.770314	HP -266.414868	TA 0.861190	HA 0.819549
Update 351	TP -1928.770319	HP -266.414869	TA 0.861190	HA 0.819549
Update 356	TP -1928.746496	HP -266.410824	TA 0.861190	HA 0.819549
Update 361	TP -1667.751041	HP -228.262719	TA 0.869688	HA 0.842105
Update 366	TP -1926.681234	HP -276.627032	TA 0.854580	HA 0.804511
