Read in 1059 train and 133 test
0.1
Update 1	TP -713.032372	HP -89.936471	TA 0.621341	HA 0.661654
Update 6	TP -709.093051	HP -94.962671	TA 0.574127	HA 0.518797
Update 11	TP -653.146332	HP -89.284926	TA 0.656280	HA 0.601504
Update 16	TP -587.953996	HP -80.412540	TA 0.732767	HA 0.676692
Update 21	TP -558.477581	HP -74.735268	TA 0.769594	HA 0.721805
Update 26	TP -521.049202	HP -67.980233	TA 0.806421	HA 0.736842
Update 31	TP -508.504899	HP -65.816891	TA 0.791313	HA 0.781955
Update 36	TP -482.448129	HP -60.279030	TA 0.803588	HA 0.812030
Update 41	TP -461.384763	HP -56.598414	TA 0.829084	HA 0.827068
Update 46	TP -443.497802	HP -55.392213	TA 0.845137	HA 0.819549
Update 51	TP -451.537050	HP -55.698269	TA 0.819641	HA 0.812030
Update 56	TP -430.825341	HP -52.323829	TA 0.824363	HA 0.842105
Update 61	TP -425.219366	HP -52.678155	TA 0.837583	HA 0.827068
Update 66	TP -422.657517	HP -52.109023	TA 0.826251	HA 0.834586
Update 71	TP -406.581393	HP -51.630853	TA 0.864023	HA 0.857143
Update 76	TP -389.723555	HP -51.252340	TA 0.877243	HA 0.864662
Update 81	TP -396.244987	HP -53.606569	TA 0.862134	HA 0.834586
Update 86	TP -381.987912	HP -51.826592	TA 0.872521	HA 0.849624
Update 91	TP -360.190314	HP -47.563872	TA 0.885741	HA 0.879699
Update 96	TP -362.950950	HP -46.772342	TA 0.878187	HA 0.887218
Update 101	TP -343.690849	HP -44.578535	TA 0.888574	HA 0.894737
Update 106	TP -335.678954	HP -43.856893	TA 0.892351	HA 0.894737
Update 111	TP -332.207833	HP -43.192500	TA 0.894240	HA 0.894737
Update 116	TP -329.969626	HP -43.066579	TA 0.894240	HA 0.887218
Update 121	TP -325.944159	HP -42.187264	TA 0.898961	HA 0.879699
Update 126	TP -324.199255	HP -42.295535	TA 0.897073	HA 0.864662
Update 131	TP -319.815238	HP -41.856475	TA 0.898017	HA 0.872180
Update 136	TP -315.868102	HP -40.919258	TA 0.898017	HA 0.894737
Update 141	TP -321.237879	HP -41.584474	TA 0.885741	HA 0.894737
Update 146	TP -313.541528	HP -40.563358	TA 0.891407	HA 0.887218
Update 151	TP -305.204019	HP -39.752098	TA 0.897073	HA 0.902256
Update 156	TP -307.201734	HP -40.198910	TA 0.893296	HA 0.887218
Update 161	TP -301.217987	HP -39.989260	TA 0.898017	HA 0.902256
Update 166	TP -301.678047	HP -39.877998	TA 0.896128	HA 0.894737
Update 171	TP -335.642677	HP -45.201263	TA 0.858357	HA 0.849624
Update 176	TP -315.814219	HP -41.872062	TA 0.883853	HA 0.864662
Update 181	TP -300.712337	HP -40.254578	TA 0.898017	HA 0.872180
