Read in 1059 train and 133 test
0.1
Update 426	TP -271.745511	HP -34.520655	TA 0.921624	HA 0.909774
Update 431	TP -281.088151	HP -34.443131	TA 0.923513	HA 0.887218
Update 436	TP -280.224100	HP -34.275109	TA 0.925401	HA 0.887218
Update 441	TP -278.798300	HP -34.175129	TA 0.923513	HA 0.887218
Update 446	TP -279.789762	HP -34.116326	TA 0.924457	HA 0.887218
Update 451	TP -263.783683	HP -33.213445	TA 0.928234	HA 0.902256
Update 456	TP -230.408000	HP -33.594816	TA 0.927290	HA 0.924812
Update 461	TP -225.484079	HP -34.106301	TA 0.931067	HA 0.917293
Update 466	TP -218.902221	HP -36.876192	TA 0.933900	HA 0.909774
Update 471	TP -218.549266	HP -36.695549	TA 0.933900	HA 0.902256
Update 476	TP -218.228181	HP -36.999113	TA 0.934844	HA 0.909774
Update 481	TP -214.306722	HP -38.420794	TA 0.931067	HA 0.902256
Update 486	TP -214.304738	HP -38.423713	TA 0.931067	HA 0.902256
Update 491	TP -234.366071	HP -48.506713	TA 0.921624	HA 0.864662
Update 496	TP -230.411956	HP -47.284123	TA 0.922568	HA 0.864662
Update 501	TP -230.354062	HP -47.267343	TA 0.922568	HA 0.864662
Update 506	TP -219.026609	HP -43.724037	TA 0.930123	HA 0.872180
Update 511	TP -211.915341	HP -43.946925	TA 0.932956	HA 0.872180
Update 516	TP -205.024739	HP -38.212584	TA 0.938621	HA 0.909774
Update 521	TP -206.862637	HP -37.146263	TA 0.939566	HA 0.909774
Update 526	TP -284.408404	HP -43.598041	TA 0.929178	HA 0.902256
Update 531	TP -284.089723	HP -43.536258	TA 0.929178	HA 0.902256
Update 536	TP -280.439290	HP -43.019465	TA 0.929178	HA 0.902256
Update 541	TP -195.747738	HP -38.436021	TA 0.937677	HA 0.909774
Update 546	TP -201.512954	HP -36.806952	TA 0.935788	HA 0.894737
Update 551	TP -203.009739	HP -36.874077	TA 0.934844	HA 0.887218
Update 556	TP -223.289917	HP -36.042399	TA 0.934844	HA 0.924812
Update 561	TP -206.345696	HP -44.836138	TA 0.941454	HA 0.902256
Update 566	TP -202.168567	HP -41.525140	TA 0.940510	HA 0.924812
Update 571	TP -202.253069	HP -41.412119	TA 0.940510	HA 0.924812
Update 576	TP -203.030135	HP -40.763933	TA 0.939566	HA 0.924812
Update 581	TP -202.780292	HP -39.357081	TA 0.941454	HA 0.924812
Update 586	TP -205.195108	HP -36.849159	TA 0.940510	HA 0.939850
Update 591	TP -205.638275	HP -36.806852	TA 0.939566	HA 0.947368
Update 596	TP -184.848337	HP -40.871524	TA 0.944287	HA 0.917293
Update 601	TP -175.754095	HP -34.837620	TA 0.947120	HA 0.924812
Update 606	TP -174.477598	HP -34.830767	TA 0.945231	HA 0.924812
Update 611	TP -174.577178	HP -34.814938	TA 0.945231	HA 0.924812
Update 616	TP -171.398609	HP -34.618573	TA 0.949953	HA 0.932331
Update 621	TP -188.519342	HP -32.048840	TA 0.947120	HA 0.947368
Update 626	TP -171.454505	HP -33.989360	TA 0.949953	HA 0.932331
Update 631	TP -171.775985	HP -33.918938	TA 0.949953	HA 0.939850
Update 636	TP -171.852948	HP -33.915118	TA 0.949953	HA 0.939850
Update 641	TP -201.119651	HP -33.530972	TA 0.946176	HA 0.932331
Update 646	TP -212.654081	HP -34.114298	TA 0.944287	HA 0.924812
Update 651	TP -175.122812	HP -44.129093	TA 0.947120	HA 0.939850
Update 656	TP -158.797452	HP -45.116234	TA 0.949953	HA 0.932331
Update 661	TP -158.799607	HP -45.119366	TA 0.949953	HA 0.932331
Update 666	TP -172.706653	HP -31.641672	TA 0.951841	HA 0.939850
Update 671	TP -153.878807	HP -31.247920	TA 0.952786	HA 0.932331
Update 676	TP -149.878509	HP -31.051685	TA 0.949008	HA 0.939850
Update 681	TP -149.733046	HP -30.952058	TA 0.949008	HA 0.939850
Update 686	TP -149.924575	HP -29.974957	TA 0.955619	HA 0.932331
Update 691	TP -149.462022	HP -29.839664	TA 0.955619	HA 0.932331
Update 696	TP -139.396510	HP -29.750434	TA 0.955619	HA 0.947368
Update 701	TP -137.973831	HP -30.116015	TA 0.955619	HA 0.947368
Update 706	TP -147.475358	HP -35.918770	TA 0.952786	HA 0.917293
Update 711	TP -150.264673	HP -36.695589	TA 0.949008	HA 0.917293
Update 716	TP -167.579347	HP -46.646247	TA 0.941454	HA 0.902256
Update 721	TP -156.139268	HP -43.901521	TA 0.945231	HA 0.902256
Update 726	TP -137.393573	HP -39.828859	TA 0.957507	HA 0.909774
Update 731	TP -114.301041	HP -34.410139	TA 0.958451	HA 0.939850
Update 736	TP -114.501280	HP -34.547014	TA 0.959396	HA 0.939850
Update 741	TP -114.908907	HP -34.611052	TA 0.959396	HA 0.939850
Update 746	TP -114.904144	HP -34.608209	TA 0.959396	HA 0.939850
Update 751	TP -115.965440	HP -31.580960	TA 0.958451	HA 0.939850
Update 756	TP -116.514381	HP -31.713503	TA 0.958451	HA 0.939850
Update 761	TP -118.229363	HP -31.237124	TA 0.960340	HA 0.939850
Update 766	TP -116.244649	HP -29.874723	TA 0.958451	HA 0.939850
Update 771	TP -116.240338	HP -29.873903	TA 0.958451	HA 0.939850
Update 776	TP -111.258982	HP -25.993258	TA 0.967894	HA 0.962406
Update 781	TP -125.249150	HP -28.023265	TA 0.965061	HA 0.962406
Update 786	TP -109.309355	HP -28.801400	TA 0.976393	HA 0.947368
Update 791	TP -111.382424	HP -28.542386	TA 0.972616	HA 0.947368
Update 796	TP -111.583466	HP -28.241755	TA 0.971671	HA 0.939850
Update 801	TP -111.686023	HP -28.227628	TA 0.971671	HA 0.939850
Update 806	TP -111.548546	HP -28.252378	TA 0.972616	HA 0.939850
Update 811	TP -118.062281	HP -28.224903	TA 0.967894	HA 0.939850
Update 816	TP -117.900067	HP -28.036239	TA 0.967894	HA 0.939850
Update 821	TP -118.271961	HP -28.010698	TA 0.968839	HA 0.939850
Update 826	TP -152.879458	HP -32.473037	TA 0.959396	HA 0.939850
Update 831	TP -128.038832	HP -24.231418	TA 0.967894	HA 0.947368
Update 836	TP -128.092005	HP -24.241214	TA 0.967894	HA 0.947368
Update 841	TP -125.069485	HP -23.662917	TA 0.967894	HA 0.947368
Update 846	TP -124.424351	HP -23.529968	TA 0.967894	HA 0.947368
Update 851	TP -124.808128	HP -23.669442	TA 0.967894	HA 0.947368
Update 856	TP -137.840120	HP -28.215336	TA 0.966006	HA 0.932331
Update 861	TP -136.376453	HP -27.612836	TA 0.966006	HA 0.932331
Update 866	TP -134.302376	HP -26.881859	TA 0.966006	HA 0.939850
Update 871	TP -136.333640	HP -27.789885	TA 0.966950	HA 0.932331
Update 876	TP -136.333816	HP -27.783777	TA 0.966950	HA 0.932331
Update 881	TP -135.034105	HP -27.393666	TA 0.966950	HA 0.932331
Update 886	TP -134.456094	HP -27.930315	TA 0.966006	HA 0.932331
Update 891	TP -133.987394	HP -27.649503	TA 0.966950	HA 0.932331
Update 896	TP -196.305563	HP -56.296020	TA 0.950897	HA 0.894737
Update 901	TP -198.103886	HP -56.772302	TA 0.950897	HA 0.894737
Update 906	TP -112.370793	HP -38.611424	TA 0.971671	HA 0.924812
Update 911	TP -111.233828	HP -38.233983	TA 0.972616	HA 0.924812
Update 916	TP -154.876533	HP -50.762691	TA 0.962229	HA 0.917293
Update 921	TP -160.321752	HP -51.986908	TA 0.960340	HA 0.917293
Update 926	TP -87.446447	HP -29.000533	TA 0.971671	HA 0.932331
Update 931	TP -87.419242	HP -28.980540	TA 0.971671	HA 0.932331
Update 936	TP -87.468497	HP -28.996922	TA 0.971671	HA 0.932331
Update 941	TP -98.414642	HP -36.162283	TA 0.970727	HA 0.924812
Update 946	TP -97.763450	HP -35.890463	TA 0.970727	HA 0.924812
Update 951	TP -97.764285	HP -35.890896	TA 0.970727	HA 0.924812
Update 956	TP -94.189537	HP -33.720511	TA 0.970727	HA 0.924812
Update 961	TP -87.758743	HP -30.804270	TA 0.972616	HA 0.924812
Update 966	TP -77.897563	HP -25.246197	TA 0.974504	HA 0.932331
Update 971	TP -76.995493	HP -24.934675	TA 0.974504	HA 0.932331
Update 976	TP -67.888816	HP -19.819883	TA 0.978281	HA 0.947368
Update 981	TP -67.044718	HP -19.059410	TA 0.980170	HA 0.939850
Update 986	TP -68.514335	HP -27.303110	TA 0.979226	HA 0.939850
Update 991	TP -67.210964	HP -26.686454	TA 0.979226	HA 0.932331
Update 996	TP -62.773134	HP -25.306877	TA 0.979226	HA 0.939850
Update 1001	TP -65.726962	HP -28.164872	TA 0.980170	HA 0.917293
Update 1006	TP -65.626437	HP -28.115130	TA 0.980170	HA 0.917293
Update 1011	TP -47.896796	HP -16.498234	TA 0.981114	HA 0.962406
Update 1016	TP -47.887153	HP -16.492384	TA 0.981114	HA 0.962406
Update 1021	TP -47.107240	HP -15.921477	TA 0.984891	HA 0.962406
Update 1026	TP -50.726980	HP -16.460838	TA 0.982059	HA 0.954887
Update 1031	TP -58.133212	HP -18.917831	TA 0.979226	HA 0.954887
Update 1036	TP -54.535950	HP -18.551880	TA 0.979226	HA 0.962406
Update 1041	TP -50.197987	HP -17.138774	TA 0.981114	HA 0.962406
Update 1046	TP -54.865910	HP -18.177100	TA 0.979226	HA 0.962406
Update 1051	TP -56.265863	HP -18.407255	TA 0.979226	HA 0.962406
Update 1056	TP -56.267026	HP -18.407552	TA 0.979226	HA 0.962406
