Read in 1059 train and 133 test
0.1
Update 1	TP -2483.993674	HP -279.447676	TA 0.594901	HA 0.593985
Update 6	TP -6534.709136	HP -925.671337	TA 0.544854	HA 0.511278
Update 11	TP -4178.275185	HP -588.565354	TA 0.655335	HA 0.639098
Update 16	TP -3243.819151	HP -494.330202	TA 0.719547	HA 0.676692
Update 21	TP -2719.725754	HP -471.650056	TA 0.756374	HA 0.699248
Update 26	TP -2693.026828	HP -471.977566	TA 0.752597	HA 0.691729
Update 31	TP -2929.706623	HP -453.438200	TA 0.755430	HA 0.684211
Update 36	TP -2829.439402	HP -424.185003	TA 0.767705	HA 0.729323
Update 41	TP -3126.458388	HP -417.951493	TA 0.748820	HA 0.766917
Update 46	TP -2613.392821	HP -368.387680	TA 0.780925	HA 0.744361
Update 51	TP -3666.994977	HP -441.117300	TA 0.722380	HA 0.766917
Update 56	TP -3788.027579	HP -395.960632	TA 0.724268	HA 0.774436
Update 61	TP -4622.933697	HP -432.766886	TA 0.695940	HA 0.759398
Update 66	TP -2651.304821	HP -342.430401	TA 0.790368	HA 0.766917
Update 71	TP -2429.613942	HP -355.591920	TA 0.826251	HA 0.789474
Update 76	TP -2949.844258	HP -401.906675	TA 0.808310	HA 0.766917
Update 81	TP -2737.552180	HP -371.493168	TA 0.805477	HA 0.812030
Update 86	TP -2634.036077	HP -360.140281	TA 0.804533	HA 0.796992
Update 91	TP -2712.060566	HP -365.163877	TA 0.801700	HA 0.774436
Update 96	TP -4347.580803	HP -448.635365	TA 0.714825	HA 0.736842
Update 101	TP -3465.639462	HP -382.948848	TA 0.773371	HA 0.766917
Update 106	TP -3232.938534	HP -391.450554	TA 0.784703	HA 0.781955
Update 111	TP -3232.938527	HP -391.450554	TA 0.784703	HA 0.781955
Update 116	TP -2653.946082	HP -348.576215	TA 0.818697	HA 0.804511
Update 121	TP -2653.928930	HP -348.568030	TA 0.818697	HA 0.804511
Update 126	TP -2434.188481	HP -320.488563	TA 0.828140	HA 0.804511
Update 131	TP -2434.188489	HP -320.488564	TA 0.828140	HA 0.804511
Update 136	TP -2434.188485	HP -320.488563	TA 0.828140	HA 0.804511
Update 141	TP -3168.109109	HP -418.180275	TA 0.790368	HA 0.774436
Update 146	TP -2803.952809	HP -378.619184	TA 0.816808	HA 0.789474
Update 151	TP -2135.818404	HP -371.839705	TA 0.849858	HA 0.819549
Update 156	TP -2135.818402	HP -371.839705	TA 0.849858	HA 0.819549
Update 161	TP -2140.245676	HP -382.325384	TA 0.849858	HA 0.827068
Update 166	TP -2127.875526	HP -381.955298	TA 0.849858	HA 0.827068
Update 171	TP -2353.453989	HP -337.297611	TA 0.847970	HA 0.827068
Update 176	TP -2353.332629	HP -337.295333	TA 0.847970	HA 0.827068
Update 181	TP -2158.803533	HP -328.857923	TA 0.847970	HA 0.857143
Update 186	TP -2241.612989	HP -321.067921	TA 0.851747	HA 0.834586
Update 191	TP -2241.597283	HP -321.067710	TA 0.851747	HA 0.834586
Update 196	TP -2241.597284	HP -321.067710	TA 0.851747	HA 0.834586
Update 201	TP -2230.061264	HP -321.865611	TA 0.847970	HA 0.827068
Update 206	TP -2055.821619	HP -298.552277	TA 0.852691	HA 0.849624
Update 211	TP -2735.680113	HP -450.263902	TA 0.824363	HA 0.789474
Update 216	TP -1989.293579	HP -356.501603	TA 0.853636	HA 0.804511
Update 221	TP -1898.678233	HP -334.465490	TA 0.861190	HA 0.819549
Update 226	TP -1898.678232	HP -334.465490	TA 0.861190	HA 0.819549
Update 231	TP -1898.788118	HP -334.520023	TA 0.861190	HA 0.819549
Update 236	TP -2442.110728	HP -412.676363	TA 0.833805	HA 0.796992
Update 241	TP -2412.766104	HP -408.615657	TA 0.834750	HA 0.796992
Update 246	TP -1945.024786	HP -298.211478	TA 0.861190	HA 0.849624
Update 251	TP -1981.466729	HP -293.827959	TA 0.862134	HA 0.804511
Update 256	TP -2062.126059	HP -379.997299	TA 0.863078	HA 0.819549
Update 261	TP -2062.126273	HP -379.997405	TA 0.863078	HA 0.819549
Update 266	TP -1897.753441	HP -308.024862	TA 0.868744	HA 0.827068
Update 271	TP -2129.172707	HP -307.463766	TA 0.864967	HA 0.827068
Update 276	TP -1852.920548	HP -290.402607	TA 0.876298	HA 0.819549
Update 281	TP -1774.526237	HP -296.290812	TA 0.883853	HA 0.834586
Update 286	TP -1674.831950	HP -289.507612	TA 0.881020	HA 0.827068
Update 291	TP -1674.831948	HP -289.507613	TA 0.881020	HA 0.827068
Update 296	TP -1674.830002	HP -289.507276	TA 0.881020	HA 0.827068
Update 301	TP -1685.822205	HP -303.116733	TA 0.881020	HA 0.827068
Update 306	TP -1685.701389	HP -303.058866	TA 0.881020	HA 0.827068
Update 311	TP -1685.701388	HP -303.058866	TA 0.881020	HA 0.827068
Update 316	TP -1725.066010	HP -305.946175	TA 0.883853	HA 0.834586
Update 321	TP -1712.909792	HP -286.914694	TA 0.884797	HA 0.842105
Update 326	TP -1614.977029	HP -275.904609	TA 0.892351	HA 0.849624
Update 331	TP -1614.977028	HP -275.904609	TA 0.892351	HA 0.849624
Update 336	TP -1614.977028	HP -275.904609	TA 0.892351	HA 0.849624
Update 341	TP -1614.977029	HP -275.904610	TA 0.892351	HA 0.849624
Update 346	TP -1486.845839	HP -248.424639	TA 0.899906	HA 0.872180
Update 351	TP -1486.845837	HP -248.424639	TA 0.899906	HA 0.872180
Update 356	TP -1486.845837	HP -248.424639	TA 0.899906	HA 0.872180
Update 361	TP -1539.366221	HP -234.406069	TA 0.893296	HA 0.872180
