Read in 1059 train and 133 test
0.1
Update 1	TP -987.983776	HP -111.316040	TA 0.594901	HA 0.593985
Update 6	TP -2862.222891	HP -423.049365	TA 0.533522	HA 0.496241
Update 11	TP -1737.731768	HP -275.179604	TA 0.645892	HA 0.616541
Update 16	TP -1145.914574	HP -185.563884	TA 0.719547	HA 0.699248
Update 21	TP -1127.604978	HP -168.152507	TA 0.739377	HA 0.691729
Update 26	TP -1051.446026	HP -158.694005	TA 0.744098	HA 0.684211
Update 31	TP -1044.771621	HP -148.799415	TA 0.758263	HA 0.714286
Update 36	TP -1054.415296	HP -139.630035	TA 0.765817	HA 0.759398
Update 41	TP -1057.756705	HP -128.256495	TA 0.772427	HA 0.759398
Update 46	TP -951.773622	HP -132.166884	TA 0.797923	HA 0.736842
Update 51	TP -1214.862106	HP -146.864901	TA 0.748820	HA 0.781955
Update 56	TP -1377.796899	HP -154.683688	TA 0.743154	HA 0.781955
Update 61	TP -1223.948253	HP -142.168931	TA 0.754485	HA 0.774436
Update 66	TP -1057.876680	HP -129.790861	TA 0.779981	HA 0.796992
Update 71	TP -942.973841	HP -129.567763	TA 0.809254	HA 0.819549
Update 76	TP -937.572777	HP -146.640906	TA 0.819641	HA 0.819549
Update 81	TP -1308.283313	HP -205.058008	TA 0.799811	HA 0.774436
Update 86	TP -1062.631139	HP -164.348855	TA 0.815864	HA 0.796992
Update 91	TP -1355.784773	HP -155.514830	TA 0.776204	HA 0.774436
Update 96	TP -1356.010694	HP -155.536037	TA 0.776204	HA 0.774436
Update 101	TP -1165.467524	HP -136.030671	TA 0.804533	HA 0.789474
Update 106	TP -1131.513118	HP -137.004060	TA 0.816808	HA 0.804511
Update 111	TP -1131.512750	HP -137.003996	TA 0.816808	HA 0.804511
Update 116	TP -957.531557	HP -116.774815	TA 0.836638	HA 0.819549
Update 121	TP -881.957272	HP -102.788041	TA 0.850803	HA 0.857143
Update 126	TP -876.176187	HP -101.957680	TA 0.850803	HA 0.872180
Update 131	TP -873.329375	HP -101.912813	TA 0.851747	HA 0.872180
Update 136	TP -872.950716	HP -101.995975	TA 0.851747	HA 0.872180
Update 141	TP -1008.644171	HP -115.881821	TA 0.840415	HA 0.834586
Update 146	TP -1045.747876	HP -118.370195	TA 0.833805	HA 0.834586
Update 151	TP -1056.899000	HP -122.216626	TA 0.834750	HA 0.827068
Update 156	TP -1060.226061	HP -122.674212	TA 0.832861	HA 0.834586
Update 161	TP -832.810784	HP -98.583017	TA 0.860246	HA 0.849624
Update 166	TP -832.906606	HP -98.586110	TA 0.860246	HA 0.849624
Update 171	TP -869.910362	HP -101.458807	TA 0.859301	HA 0.857143
Update 176	TP -870.418332	HP -101.472427	TA 0.858357	HA 0.857143
Update 181	TP -801.292627	HP -88.426854	TA 0.867800	HA 0.879699
Update 186	TP -819.869240	HP -90.959991	TA 0.862134	HA 0.864662
Update 191	TP -816.149295	HP -90.431775	TA 0.862134	HA 0.864662
Update 196	TP -769.584191	HP -83.734979	TA 0.864967	HA 0.872180
Update 201	TP -1396.313693	HP -220.867066	TA 0.813031	HA 0.796992
Update 206	TP -1150.205710	HP -181.127398	TA 0.838527	HA 0.812030
Update 211	TP -1247.889282	HP -177.058815	TA 0.822474	HA 0.834586
Update 216	TP -1200.783013	HP -166.818178	TA 0.827195	HA 0.827068
Update 221	TP -1220.444304	HP -169.693596	TA 0.823418	HA 0.834586
Update 226	TP -831.535798	HP -132.129195	TA 0.865911	HA 0.849624
Update 231	TP -831.976852	HP -132.481614	TA 0.869688	HA 0.849624
Update 236	TP -972.720852	HP -143.704075	TA 0.862134	HA 0.819549
Update 241	TP -958.992353	HP -142.003242	TA 0.862134	HA 0.819549
Update 246	TP -943.281406	HP -140.700079	TA 0.864023	HA 0.827068
Update 251	TP -943.851922	HP -140.778858	TA 0.864023	HA 0.827068
Update 256	TP -858.962670	HP -138.093646	TA 0.869688	HA 0.842105
Update 261	TP -956.226858	HP -144.866442	TA 0.863078	HA 0.834586
Update 266	TP -950.547352	HP -144.099390	TA 0.862134	HA 0.842105
Update 271	TP -849.450264	HP -128.911435	TA 0.872521	HA 0.849624
Update 276	TP -879.156821	HP -132.865283	TA 0.866856	HA 0.849624
Update 281	TP -995.452351	HP -156.412925	TA 0.855524	HA 0.857143
Update 286	TP -883.755815	HP -161.811276	TA 0.877243	HA 0.864662
Update 291	TP -903.631262	HP -163.220644	TA 0.874410	HA 0.827068
Update 296	TP -857.788653	HP -156.717661	TA 0.878187	HA 0.849624
Update 301	TP -833.679207	HP -148.597927	TA 0.879131	HA 0.857143
Update 306	TP -794.068150	HP -138.604823	TA 0.888574	HA 0.887218
Update 311	TP -794.033674	HP -138.575331	TA 0.888574	HA 0.887218
Update 316	TP -767.103012	HP -145.522015	TA 0.890463	HA 0.864662
Update 321	TP -768.335839	HP -151.650777	TA 0.900850	HA 0.857143
Update 326	TP -736.000770	HP -144.388150	TA 0.902738	HA 0.879699
Update 331	TP -735.873028	HP -144.339090	TA 0.902738	HA 0.879699
Update 336	TP -735.894039	HP -144.351545	TA 0.902738	HA 0.879699
Update 341	TP -735.922985	HP -144.365002	TA 0.901794	HA 0.879699
Update 346	TP -1154.208558	HP -177.216145	TA 0.856468	HA 0.812030
Update 351	TP -1154.209514	HP -177.216334	TA 0.856468	HA 0.812030
Update 356	TP -1458.498572	HP -209.916230	TA 0.833805	HA 0.796992
Update 361	TP -1256.548337	HP -176.495296	TA 0.855524	HA 0.819549
Update 366	TP -1390.818708	HP -204.130232	TA 0.847970	HA 0.812030
Update 371	TP -1201.663683	HP -181.173609	TA 0.861190	HA 0.812030
Update 376	TP -1175.076296	HP -187.337965	TA 0.867800	HA 0.804511
Update 381	TP -985.067449	HP -146.062181	TA 0.882908	HA 0.827068
Update 386	TP -852.511233	HP -118.876675	TA 0.893296	HA 0.857143
Update 391	TP -932.689071	HP -122.732074	TA 0.883853	HA 0.849624
Update 396	TP -924.732531	HP -121.730245	TA 0.884797	HA 0.842105
Update 401	TP -840.515430	HP -112.903324	TA 0.893296	HA 0.849624
Update 406	TP -663.135839	HP -79.613570	TA 0.910293	HA 0.879699
Update 411	TP -627.609043	HP -91.199500	TA 0.913126	HA 0.857143
Update 416	TP -627.606193	HP -91.196639	TA 0.913126	HA 0.857143
Update 421	TP -877.304233	HP -147.067420	TA 0.879131	HA 0.864662
Update 426	TP -737.534708	HP -118.747022	TA 0.896128	HA 0.864662
Update 431	TP -647.201279	HP -101.118577	TA 0.915014	HA 0.864662
Update 436	TP -647.198499	HP -101.117807	TA 0.915014	HA 0.864662
Update 441	TP -647.198554	HP -101.117829	TA 0.915014	HA 0.864662
Update 446	TP -647.161863	HP -101.093268	TA 0.915014	HA 0.864662
Update 451	TP -645.229975	HP -100.688144	TA 0.915014	HA 0.857143
Update 456	TP -606.907295	HP -103.702474	TA 0.915958	HA 0.879699
Update 461	TP -604.086647	HP -103.358312	TA 0.915958	HA 0.879699
Update 466	TP -599.910846	HP -109.588386	TA 0.927290	HA 0.849624
Update 471	TP -599.911846	HP -109.596060	TA 0.927290	HA 0.849624
Update 476	TP -599.900584	HP -109.596238	TA 0.927290	HA 0.849624
Update 481	TP -572.114561	HP -108.277572	TA 0.917847	HA 0.879699
Update 486	TP -572.114561	HP -108.277572	TA 0.917847	HA 0.879699
Update 491	TP -654.234200	HP -126.773077	TA 0.908404	HA 0.879699
Update 496	TP -643.541532	HP -125.000035	TA 0.909348	HA 0.879699
Update 501	TP -643.541498	HP -125.000030	TA 0.909348	HA 0.879699
Update 506	TP -576.959744	HP -117.177778	TA 0.918791	HA 0.872180
Update 511	TP -572.873251	HP -118.709526	TA 0.918791	HA 0.872180
Update 516	TP -628.640646	HP -123.331414	TA 0.905571	HA 0.864662
Update 521	TP -608.998202	HP -120.460521	TA 0.908404	HA 0.879699
Update 526	TP -528.794576	HP -121.613839	TA 0.924457	HA 0.849624
Update 531	TP -528.802111	HP -121.613975	TA 0.924457	HA 0.849624
Update 536	TP -528.802088	HP -121.613973	TA 0.924457	HA 0.849624
Update 541	TP -497.523912	HP -118.646850	TA 0.923513	HA 0.857143
Update 546	TP -640.400327	HP -114.239154	TA 0.915958	HA 0.849624
Update 551	TP -640.754179	HP -114.290982	TA 0.915958	HA 0.849624
Update 556	TP -720.932572	HP -121.463788	TA 0.906516	HA 0.849624
Update 561	TP -571.120135	HP -93.173540	TA 0.922568	HA 0.864662
Update 566	TP -581.330875	HP -94.020544	TA 0.921624	HA 0.857143
Update 571	TP -581.331693	HP -94.020615	TA 0.921624	HA 0.857143
Update 576	TP -581.340117	HP -94.019950	TA 0.921624	HA 0.857143
Update 581	TP -578.186522	HP -93.660888	TA 0.921624	HA 0.857143
Update 586	TP -630.398224	HP -99.373529	TA 0.917847	HA 0.857143
Update 591	TP -630.333944	HP -99.371064	TA 0.917847	HA 0.857143
Update 596	TP -495.710114	HP -89.576396	TA 0.925401	HA 0.864662
Update 601	TP -526.991889	HP -93.496347	TA 0.923513	HA 0.872180
Update 606	TP -519.589573	HP -92.482737	TA 0.923513	HA 0.872180
Update 611	TP -519.589676	HP -92.482738	TA 0.923513	HA 0.872180
Update 616	TP -578.256207	HP -101.349630	TA 0.917847	HA 0.864662
Update 621	TP -810.754434	HP -131.983177	TA 0.902738	HA 0.857143
Update 626	TP -626.501746	HP -106.134399	TA 0.919736	HA 0.872180
Update 631	TP -555.558118	HP -100.906901	TA 0.927290	HA 0.879699
Update 636	TP -555.558161	HP -100.906906	TA 0.927290	HA 0.879699
Update 641	TP -716.347592	HP -119.381819	TA 0.909348	HA 0.849624
Update 646	TP -717.296102	HP -119.480987	TA 0.909348	HA 0.849624
Update 651	TP -465.551787	HP -92.930141	TA 0.936733	HA 0.879699
Update 656	TP -407.567204	HP -90.256661	TA 0.942398	HA 0.894737
Update 661	TP -407.567240	HP -90.256668	TA 0.942398	HA 0.894737
Update 666	TP -384.049106	HP -85.894570	TA 0.944287	HA 0.894737
Update 671	TP -391.270363	HP -86.311139	TA 0.944287	HA 0.902256
Update 676	TP -339.910874	HP -79.414991	TA 0.944287	HA 0.909774
Update 681	TP -339.550435	HP -79.343465	TA 0.944287	HA 0.909774
Update 686	TP -309.082535	HP -71.391025	TA 0.947120	HA 0.909774
Update 691	TP -308.966173	HP -71.361102	TA 0.947120	HA 0.909774
Update 696	TP -283.831618	HP -55.057263	TA 0.949008	HA 0.902256
Update 701	TP -283.628830	HP -54.660686	TA 0.947120	HA 0.902256
Update 706	TP -329.097789	HP -64.825112	TA 0.942398	HA 0.917293
Update 711	TP -334.737632	HP -66.719542	TA 0.942398	HA 0.924812
Update 716	TP -354.858475	HP -78.087900	TA 0.940510	HA 0.894737
Update 721	TP -344.633555	HP -75.415255	TA 0.941454	HA 0.894737
Update 726	TP -282.973634	HP -67.226826	TA 0.948064	HA 0.902256
Update 731	TP -224.050110	HP -63.526082	TA 0.956563	HA 0.909774
Update 736	TP -224.005069	HP -63.121350	TA 0.955619	HA 0.909774
Update 741	TP -224.006145	HP -63.121454	TA 0.955619	HA 0.909774
Update 746	TP -224.006145	HP -63.121454	TA 0.955619	HA 0.909774
Update 751	TP -208.483053	HP -59.658039	TA 0.957507	HA 0.909774
Update 756	TP -236.873830	HP -60.550514	TA 0.953730	HA 0.902256
Update 761	TP -225.440794	HP -59.427849	TA 0.955619	HA 0.902256
Update 766	TP -229.713897	HP -36.004519	TA 0.957507	HA 0.939850
Update 771	TP -229.713872	HP -36.004536	TA 0.957507	HA 0.939850
Update 776	TP -213.754863	HP -34.010988	TA 0.961284	HA 0.932331
Update 781	TP -234.972307	HP -41.966829	TA 0.956563	HA 0.924812
Update 786	TP -212.378750	HP -39.208115	TA 0.966006	HA 0.924812
Update 791	TP -214.881914	HP -42.340580	TA 0.963173	HA 0.932331
Update 796	TP -214.881702	HP -42.340578	TA 0.963173	HA 0.932331
Update 801	TP -214.882109	HP -42.340669	TA 0.963173	HA 0.932331
Update 806	TP -214.876172	HP -42.339919	TA 0.963173	HA 0.932331
Update 811	TP -240.397972	HP -49.635133	TA 0.964117	HA 0.909774
Update 816	TP -239.954558	HP -49.534528	TA 0.964117	HA 0.909774
Update 821	TP -239.958600	HP -49.535447	TA 0.964117	HA 0.909774
Update 826	TP -307.151965	HP -51.808167	TA 0.956563	HA 0.932331
Update 831	TP -307.040206	HP -51.770954	TA 0.956563	HA 0.932331
Update 836	TP -307.040209	HP -51.770955	TA 0.956563	HA 0.932331
Update 841	TP -306.598877	HP -51.661242	TA 0.956563	HA 0.932331
Update 846	TP -306.559999	HP -51.650837	TA 0.956563	HA 0.932331
Update 851	TP -306.559849	HP -51.650692	TA 0.956563	HA 0.932331
Update 856	TP -430.552726	HP -86.939128	TA 0.938621	HA 0.939850
Update 861	TP -421.825098	HP -85.348314	TA 0.939566	HA 0.939850
Update 866	TP -419.320464	HP -85.010640	TA 0.941454	HA 0.939850
Update 871	TP -419.292240	HP -85.004664	TA 0.941454	HA 0.939850
Update 876	TP -419.291569	HP -85.004498	TA 0.941454	HA 0.939850
Update 881	TP -419.291529	HP -85.004490	TA 0.941454	HA 0.939850
Update 886	TP -398.745359	HP -82.346033	TA 0.942398	HA 0.939850
Update 891	TP -398.737229	HP -82.343538	TA 0.942398	HA 0.939850
Update 896	TP -581.671649	HP -116.325761	TA 0.921624	HA 0.894737
Update 901	TP -581.839169	HP -116.360308	TA 0.921624	HA 0.894737
Update 906	TP -393.722171	HP -95.412954	TA 0.942398	HA 0.947368
Update 911	TP -393.717517	HP -95.412112	TA 0.942398	HA 0.947368
Update 916	TP -671.113190	HP -118.492009	TA 0.909348	HA 0.894737
Update 921	TP -671.142061	HP -118.494441	TA 0.909348	HA 0.894737
Update 926	TP -233.503975	HP -58.083197	TA 0.961284	HA 0.954887
Update 931	TP -233.503984	HP -58.083203	TA 0.961284	HA 0.954887
Update 936	TP -233.504642	HP -58.083409	TA 0.961284	HA 0.954887
Update 941	TP -382.966254	HP -107.266230	TA 0.937677	HA 0.924812
Update 946	TP -382.942614	HP -107.263067	TA 0.937677	HA 0.924812
Update 951	TP -382.942613	HP -107.263067	TA 0.937677	HA 0.924812
Update 956	TP -381.974230	HP -107.102525	TA 0.937677	HA 0.924812
Update 961	TP -378.600806	HP -106.667749	TA 0.938621	HA 0.924812
Update 966	TP -367.445008	HP -104.579717	TA 0.940510	HA 0.924812
Update 971	TP -366.232768	HP -104.455932	TA 0.940510	HA 0.924812
Update 976	TP -234.915445	HP -71.932180	TA 0.957507	HA 0.939850
Update 981	TP -193.081102	HP -58.200736	TA 0.970727	HA 0.939850
Update 986	TP -273.560277	HP -97.705737	TA 0.949953	HA 0.902256
Update 991	TP -147.635374	HP -54.237488	TA 0.968839	HA 0.932331
Update 996	TP -145.548648	HP -53.816308	TA 0.968839	HA 0.932331
Update 1001	TP -172.873779	HP -65.992371	TA 0.960340	HA 0.924812
Update 1006	TP -172.538528	HP -65.889802	TA 0.960340	HA 0.924812
Update 1011	TP -86.759510	HP -36.506859	TA 0.980170	HA 0.939850
Update 1016	TP -86.759510	HP -36.506859	TA 0.980170	HA 0.939850
Update 1021	TP -113.882631	HP -50.841416	TA 0.974504	HA 0.939850
Update 1026	TP -113.882601	HP -50.841410	TA 0.974504	HA 0.939850
Update 1031	TP -156.052906	HP -64.515968	TA 0.971671	HA 0.917293
Update 1036	TP -102.310621	HP -59.685702	TA 0.981114	HA 0.924812
Update 1041	TP -80.782513	HP -46.805599	TA 0.980170	HA 0.932331
Update 1046	TP -80.780892	HP -46.806016	TA 0.980170	HA 0.932331
Update 1051	TP -79.423387	HP -47.721844	TA 0.981114	HA 0.932331
Update 1056	TP -79.423386	HP -47.721843	TA 0.981114	HA 0.932331
