Read in 1059 train and 133 test
0.1
Update 1	TP -4571.631053	HP -534.772817	TA 0.594901	HA 0.593985
Update 6	TP -7735.581563	HP -1042.957309	TA 0.558074	HA 0.518797
Update 11	TP -5668.023263	HP -790.823535	TA 0.661945	HA 0.624060
Update 16	TP -4725.932743	HP -694.362390	TA 0.714825	HA 0.676692
Update 21	TP -4822.370135	HP -759.449666	TA 0.717658	HA 0.669173
Update 26	TP -4204.449579	HP -697.970861	TA 0.743154	HA 0.691729
Update 31	TP -4160.763662	HP -659.659455	TA 0.758263	HA 0.706767
Update 36	TP -4169.887041	HP -618.744391	TA 0.761095	HA 0.721805
Update 41	TP -4375.405622	HP -500.678407	TA 0.743154	HA 0.781955
Update 46	TP -3822.377252	HP -466.115788	TA 0.773371	HA 0.781955
Update 51	TP -4958.717506	HP -507.599823	TA 0.728045	HA 0.766917
Update 56	TP -6338.009799	HP -628.396775	TA 0.663834	HA 0.729323
Update 61	TP -4851.022084	HP -573.987757	TA 0.726157	HA 0.766917
Update 66	TP -3826.395523	HP -504.497960	TA 0.787535	HA 0.789474
Update 71	TP -3968.698065	HP -671.927357	TA 0.779037	HA 0.706767
Update 76	TP -3264.487196	HP -399.060719	TA 0.817753	HA 0.804511
Update 81	TP -3815.270539	HP -533.029442	TA 0.798867	HA 0.789474
Update 86	TP -3471.632064	HP -469.635166	TA 0.806421	HA 0.789474
Update 91	TP -3685.963290	HP -484.460311	TA 0.800755	HA 0.781955
Update 96	TP -3685.963293	HP -484.460311	TA 0.800755	HA 0.781955
Update 101	TP -3685.961595	HP -484.460107	TA 0.800755	HA 0.781955
Update 106	TP -3402.787112	HP -479.608077	TA 0.815864	HA 0.796992
Update 111	TP -3402.787105	HP -479.608076	TA 0.815864	HA 0.796992
Update 116	TP -3050.261905	HP -448.965508	TA 0.830973	HA 0.812030
Update 121	TP -3047.181023	HP -448.846248	TA 0.831917	HA 0.804511
Update 126	TP -3038.887977	HP -421.437303	TA 0.837583	HA 0.819549
Update 131	TP -3038.887976	HP -421.437302	TA 0.837583	HA 0.819549
Update 136	TP -3038.887976	HP -421.437302	TA 0.837583	HA 0.819549
Update 141	TP -3250.953264	HP -451.865199	TA 0.818697	HA 0.804511
Update 146	TP -3469.051731	HP -452.250488	TA 0.808310	HA 0.804511
Update 151	TP -3517.936751	HP -447.374088	TA 0.809254	HA 0.812030
Update 156	TP -4230.069279	HP -499.368105	TA 0.778093	HA 0.774436
Update 161	TP -3408.995283	HP -445.917680	TA 0.822474	HA 0.804511
Update 166	TP -3408.995285	HP -445.917680	TA 0.822474	HA 0.804511
Update 171	TP -3408.995290	HP -445.917680	TA 0.822474	HA 0.804511
Update 176	TP -2494.972033	HP -344.089031	TA 0.864023	HA 0.849624
Update 181	TP -2511.860030	HP -322.085152	TA 0.864967	HA 0.872180
Update 186	TP -2460.138435	HP -336.953871	TA 0.868744	HA 0.857143
Update 191	TP -2460.138435	HP -336.953871	TA 0.868744	HA 0.857143
Update 196	TP -2460.137845	HP -336.953769	TA 0.868744	HA 0.857143
Update 201	TP -3455.133542	HP -540.070490	TA 0.820585	HA 0.759398
Update 206	TP -3040.943112	HP -452.806361	TA 0.841360	HA 0.781955
Update 211	TP -2384.480926	HP -344.670982	TA 0.870633	HA 0.849624
Update 216	TP -2384.475448	HP -344.670949	TA 0.870633	HA 0.849624
Update 221	TP -2688.855427	HP -426.370174	TA 0.859301	HA 0.819549
Update 226	TP -2316.958272	HP -343.182491	TA 0.869688	HA 0.864662
Update 231	TP -2316.958273	HP -343.182491	TA 0.869688	HA 0.864662
Update 236	TP -2621.191248	HP -430.522726	TA 0.855524	HA 0.834586
Update 241	TP -2621.191245	HP -430.522726	TA 0.855524	HA 0.834586
Update 246	TP -2161.259125	HP -385.281616	TA 0.874410	HA 0.834586
Update 251	TP -2161.259124	HP -385.281616	TA 0.874410	HA 0.834586
Update 256	TP -2260.626559	HP -391.350187	TA 0.874410	HA 0.834586
Update 261	TP -2260.626558	HP -391.350187	TA 0.874410	HA 0.834586
Update 266	TP -2260.626555	HP -391.350185	TA 0.874410	HA 0.834586
Update 271	TP -2260.611566	HP -391.345772	TA 0.874410	HA 0.834586
Update 276	TP -3393.954110	HP -674.859843	TA 0.817753	HA 0.736842
Update 281	TP -2140.526412	HP -527.869484	TA 0.884797	HA 0.766917
Update 286	TP -2236.565601	HP -541.047447	TA 0.875354	HA 0.781955
Update 291	TP -2238.485524	HP -541.165781	TA 0.875354	HA 0.781955
Update 296	TP -2238.485516	HP -541.165780	TA 0.875354	HA 0.781955
Update 301	TP -2151.037803	HP -563.034852	TA 0.877243	HA 0.766917
Update 306	TP -2037.677002	HP -452.993115	TA 0.883853	HA 0.796992
Update 311	TP -2037.677002	HP -452.993115	TA 0.883853	HA 0.796992
Update 316	TP -2140.087862	HP -505.765117	TA 0.879131	HA 0.789474
Update 321	TP -1964.996775	HP -432.767666	TA 0.890463	HA 0.812030
Update 326	TP -1877.618144	HP -397.177080	TA 0.889518	HA 0.827068
Update 331	TP -1877.618144	HP -397.177080	TA 0.889518	HA 0.827068
Update 336	TP -1877.618144	HP -397.177080	TA 0.889518	HA 0.827068
Update 341	TP -1939.620574	HP -383.877761	TA 0.890463	HA 0.834586
